ダウンロードした時刻：2025/07/16 21:46:53

,,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,曜日,平均気温(℃),平均気温(℃),平均気温(℃),最低気温(℃),最低気温(℃),最低気温(℃),平均湿度(％),平均湿度(％),平均湿度(％),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),天気概況(夜：18時～翌日06時),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,,,,,,,,,,,,,,
,,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2024/7/15,月,24.6,8,1,23.2,8,1,87,8,1,曇一時雨,8,1,曇後一時雨,8,1,27.7,8,1
2024/7/16,火,23.9,8,1,22.2,8,1,90,8,1,雨時々曇,8,1,雨時々曇,8,1,27.3,8,1
2024/7/17,水,25.8,8,1,22.1,8,1,87,8,1,曇,8,1,曇,8,1,31.3,8,1
2024/7/18,木,28.4,8,1,24.4,8,1,77,8,1,薄曇後一時晴,8,1,曇,8,1,33.4,8,1
2024/7/19,金,30.0,8,1,26.0,8,1,72,8,1,曇後一時晴,8,1,曇後晴,8,1,34.5,8,1
2024/7/20,土,30.7,8,1,25.0,8,1,76,8,1,晴後曇,8,1,大雨時々曇、雷を伴う,8,1,35.8,8,1
2024/7/21,日,29.1,8,1,24.6,8,1,79,8,1,晴時々薄曇,8,1,晴,8,1,34.6,8,1
2024/7/22,月,30.5,8,1,24.8,8,1,75,8,1,晴後一時薄曇、雷を伴う,8,1,曇一時雨後晴、雷を伴う,8,1,36.6,8,1
2024/7/23,火,29.5,8,1,24.2,8,1,82,8,1,快晴,8,1,晴後一時薄曇,8,1,34.5,8,1
2024/7/24,水,30.1,8,1,24.9,8,1,69,8,1,曇時々晴、雷を伴う,8,1,薄曇,8,1,36.0,8,1
2024/7/25,木,30.2,8,1,27.0,8,1,72,8,1,晴時々薄曇一時雨,8,1,薄曇時々晴後一時雨、雷を伴う,8,1,34.8,8,1
2024/7/26,金,30.1,8,1,26.1,8,1,73,8,1,薄曇,8,1,曇一時雨,8,1,35.6,8,1
2024/7/27,土,30.3,8,1,26.7,8,1,76,8,1,薄曇後一時雨,8,1,薄曇時々晴一時雨,8,1,35.6,8,1
2024/7/28,日,31.6,8,1,26.5,8,1,67,8,1,薄曇,8,1,薄曇一時晴,8,1,36.8,8,1
2024/7/29,月,32.3,8,1,29.3,8,1,61,8,1,薄曇後一時晴,8,1,晴,8,1,37.3,8,1
2024/7/30,火,30.8,8,1,27.8,8,1,68,8,1,曇時々晴後一時雨,8,1,曇,8,1,36.1,8,1
2024/7/31,水,29.4,8,1,24.6,8,1,77,8,1,曇後一時雨,8,1,曇一時大雨後時々晴、雷を伴う,8,1,35.6,8,1
2024/8/1,木,28.5,8,1,24.5,8,1,74,8,1,薄曇一時晴,8,1,曇時々晴,8,1,33.5,8,1
2024/8/2,金,28.7,8,1,25.4,8,1,74,8,1,曇後晴,8,1,曇時々晴,8,1,33.9,8,1
2024/8/3,土,29.4,8,1,26.0,8,1,73,8,1,晴一時曇,8,1,晴後一時曇,8,1,34.6,8,1
2024/8/4,日,30.0,8,1,25.4,8,1,67,8,1,晴,8,1,晴,8,1,35.3,8,1
2024/8/5,月,30.0,8,1,26.1,8,1,72,8,1,薄曇一時晴,8,1,曇一時晴,8,1,35.0,8,1
